id,message,response
1,helllooo,"helllooo.

The following is a list of the most popular and most common ways to get a job."
2,how are ayou?,"how are ayou?

I’m not sure if you‬re a fan of the game, but I‪m sure you are.
You‹re not a gamer, I don‣t know. I just don't know what you think. You‭re just a guy who‫s a little bit more than a person."
3,okay thats cool,"okay thats cool.

I'm not sure if you can find the link to the video, but I'm sure you'll find it."
4,what video,"what video game developer, and the creator of the game, has been working on a new game called The Legend of Zelda: Breath of The Wild.

The game is a sequel to the original Zelda game and is set in the same world as the first Zelda. The game was originally released in Japan in 2001 and was released on PC in 2002. It was later ported to other platforms. In the sequel, the player is forced to choose between the two worlds to explore. This is the main reason why the Zelda series is so popular in North America."
5,zelda is a cool game,"zelda is a cool game that is very easy to play. It is also very fun to have a game with a lot of fun.

The game is available for download on the Steam Store."
6,is an expensive game,"is an expensive game.

The game is a bit of a mystery, but it's a fun game to play. It's not a game that's easy to get into, and it has a lot of fun. The game has some interesting mechanics, some of which are interesting. There are a few things that I like about the game, which I think are very interesting to watch. I'm not sure if I'll be able to find out more about it, or if it will be a little more interesting, so I hope you enjoy it."
7,what do you think about zelda?,"what do you think about zelda?

I think it's a great idea to have a Zelda game that's not just about Zelda, but also about the Zelda series. I think Zelda is a very good Zelda title, and I'm very excited about it.
What do your thoughts on Zelda?"
8,"i really like this game, i love the storyline","i really like this game, i love the storyline and the story.

I really love this story and i like the plot. I really enjoy the game."
9,have you played it?,"have you played it?

I'm not sure if you're playing it, but I'm sure you've played the game.
You've been playing the games for a while now, and I think you'll be able to play it. I've always been a fan of the series, so I'd like to see you play the show."
10,"not me but you, have you played zelda?","not me but you, have you played zelda?

I'm not sure if you're going to play zelden, but I'm sure you've played zlda.
You're not going back to the game. I don't know if I'll be able to do it again."
11,what do you think about vodka,"what do you think about vodka?

I think it's a good thing to have a vodka. I think that's what I like to drink. It's not a bad thing.
What do I drink? I'm not going to go out and drink vodka, but I do drink it. If I have to, I don't drink, and I just drink the vodka and it just doesn't work. So I can't go to the bar and go and buy vodka because I've got no idea what it is. But I'll drink and if I want to. And I know that I need to get a drink from the bartender. That's the only thing I really want."
12,do you like cats?,"do you like cats?

I think cats are a good thing. They are the best thing to do.
You can find more cats at the cat-friendly cat shelter."
13,do you like dogs?,"do you like dogs?

I think it's a good idea to have a dog that's not a puppy.
If you have dogs that are not puppies, you can have them. If you don't have puppies that you want to be with, then you're not going to want them to go to a vet. You're going into a situation where you need to get a pet that is not your dog. It's going through a process where the vet is going out of control and you've got to make sure that the dog is in good health. So, if you are a veterinarian, it is a very important thing to do. I think that if a person is suffering from a condition that has been diagnosed with a disease,"
14,whats your skin colour?,"whats your skin colour?

I’m not sure if you‪re a fan of the colour, but I‬m sure you are.
If you have any questions, please feel free to contact me."
15,what is your skin colour,"what is your skin colour?

I’m not sure if you‬re a fan of the colour, but I‪m sure you are.
If you have any questions, please feel free to contact me."
16,what is your skin color,"what is your skin color?

I’m not sure if you‬re a white person, but I‪m sure you are.
You‹re not a black person. I don‏t know if I can‛t tell you what I mean. You›re white."
17,how old are you,"how old are you?

I’m not sure if you‪re a fan of the show, but I‬m sure you are.
You‫re not a big fan. I don‭t know if I can‣t tell you what I mean. You“re just a little bit of a kid.”
‹I don't know. It․s not like I was a child. But I think it‥s a good thing. And I know that I have a lot of respect for the characters. So I just don´t think I should be a part of it."
